username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
Ninadpathekar,"big movie buff, big time foodie,and a proud indian ... :) NO MORE FUCKS TO GIVE...ONLY GOOD VIBES  \.m./",,91,64,161,2010-02-19 14:42:21,2020-12-08 22:49:03,0,"@snat7777 @therealkapildev @ReheSamay Please go to Spade comedy show, Space comedy is yet to be organised by elon musk 🤣🙏",[]
thedaviddorsey,"#Dallas born with a #Houston soul ..Biggest Dallas sports fan you'll find ..I'm a #sneakerhead and I like my music #choppednotslopped ..#RIPCBOMAGIC
DDD.DLD.KND","DDD, Texas ",299,849,249472,2010-03-17 18:15:08,2020-12-08 22:48:53,22,Elon Musk confirms he's moved to Texas after a months-long fight with California https://t.co/LTQpWtDG8c,[]
BigFatKoch,Pro 'Murica * Pro Brexit * Pro MAGA * Pro 2A * Former Democrat * Carroll Shelby is my spirit animal,United Something,2242,1109,20484,2017-08-17 01:47:43,2020-12-08 22:48:50,0,"Elon says peace out to CA. Will the country's only third world state ever learn?

https://t.co/IF7ato94a2 https://t.co/dZ5oU5LpWj",[]
TheMickLovin,I'm decent and I look up to Yukon Cornelius.,NC,384,504,45171,2009-07-30 00:23:43,2020-12-08 22:48:46,44,Tesla’s billionaire cofounder and CEO Elon Musk overtook LVMH chairman Bernard Arnault to become the second richest person in the world https://t.co/6EkNfndk1q by @skleb1234 https://t.co/emDl84s2FU,[]
rclev91,"Chimiste
-Always Lead,Never Follow 
-Plus prestigieux que la bière Prestige ..! 
-Ti bwa w pa wè a se limenm ki kreve jew »","Cap-Haitien,Haiti",1093,790,26367,2011-10-16 18:19:11,2020-12-08 22:48:43,130,"Elon Musk has confirmed he moved to Texas.

Can't blame him. https://t.co/8KgD5OdVuv",[]
Michael_Ludden,"Entrepreneur | Product Director | Developer Platform Expert | Marketeer | Speaker | ex-Googler & IBMer, current Founder of The Original Dog Treat Truck Company","Austin, TX, USA",1399,5446,7576,2008-04-28 19:43:23,2020-12-08 22:48:41,0,"As the great @djkhaled once (always) said: ""Another One!"" Elon Musk says he has moved to Texas, calls California overly ‘complacent’ https://t.co/S5FaSjlDSs via @Verge",[]
enlightenik,"AFTERLIFE😇EMMISARY🌎
Nicole Elise OWEN
100%REAL😇
Open♎LIVEstreamCHANNEL HolySpectralArchRealm #GOD #ESP #Tetrachromat #METAPHYSICS  #ANGELS #SPIRITS #ANSWERS","Ontario, Canada, Earth",28,2014,9878,2013-12-04 02:58:38,2020-12-08 22:48:40,0,"Dear Musk, Elon. You are about to fly too close to the sun. You were warned.
#SpaceX 
#ElonMusk","[{'text': 'SpaceX', 'indices': [77, 84]}, {'text': 'ElonMusk', 'indices': [86, 95]}]"
AppealToReason_,"Ad astra per aspera. Support Bristol Rovers. For more information on me, check my obituary.","England, United Kingdom",383,277,8963,2013-01-17 16:57:14,2020-12-08 22:48:38,77,"Hibernating snakes are complicating Elon Musk’s plans for a gigafactory near Berlin, Germany https://t.co/UfMsiovDGK https://t.co/FVDbhjkAiW",[]
Khue_Vu,"Make yourself sheep and the wolves will eat you.
-- Benjamin Franklin (1706 - 1790)",,79,39,2960,2012-01-15 22:24:36,2020-12-08 22:48:36,0,@IngrahamAngle @GavinNewsom Can you imagine how large of a home in Texas Elon Musk could buy with the proceeds from the sale of his home from California? 😵,[]
theblade9999,Swift and true,,106,4,604,2020-12-04 21:01:26,2020-12-08 22:48:32,0,@Forbes Make Elon musk poor again,[]
