username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,tweet,hashtags
MohammadAIkbal1,LUCIFER,,1430,589,5708,2020-11-03 11:36:29,2020-12-08 23:18:09,0,elon musk ur fate will turn back to 0,[]
Elisabe09456260,"human, ❤environment, Student, SpaceX, Tesla, Elon Musk, Queen, Freddie Mercury, Going to Mars, the misfits, danzig, samhain, chemistry, mlt soon , biodiversity!","Albuquerque, NM",1329,545,5563,2020-08-05 18:38:48,2020-12-08 23:18:09,20,"Elon Musk: “Yes, I have moved to Texas.” 🏣🚀 https://t.co/CKj9QQmgqw $TSLA #Tesla #SpaceX https://t.co/5i9lOMGifx","[{'text': 'Tesla', 'indices': [87, 93]}, {'text': 'SpaceX', 'indices': [94, 101]}]"
Gtyson3,"IT Sales, East Pennsboro TWP Commissioner, Ford Mustang and Collector Car Enthusiast",Pennsylvania,801,143,4075,2009-03-30 23:28:32,2020-12-08 23:18:06,395,"I'd say the last person to leave Californian should turn out the lights, but I think @GavinNewsom is already working on that.  ""Elon Musk confirms he relocated to Texas from California"" https://t.co/HKmNCuyw3u",[]
ThatSmugKairi,A Very Smug asshole who’s a fan of Games and Stuff. and Politics so BEWARE. ALM (All means ALL. no exceptions). Featuring Dante from Devil May Cry and Knuckles,Some Random Island,1114,553,115741,2020-04-18 18:08:32,2020-12-08 23:18:06,200,"BREAKING: @ElonMusk: Bye, California, I’ve Moved To Texas https://t.co/5Ql7M9XQRi",[]
Tamor12,,,342,46,8056,2011-02-13 18:09:21,2020-12-08 23:18:04,200,"BREAKING: @ElonMusk: Bye, California, I’ve Moved To Texas https://t.co/5Ql7M9XQRi",[]
Steelhawk3843,GBS survivor,cocoa,222,39,960,2013-08-30 02:34:35,2020-12-08 23:18:02,179,"""Yes, I have moved to Texas."" --Elon Musk at @WSJ CEO Council.",[]
OCRBiz,"Orange County Register Business Team talks jobs, tech, tourism, real estate, small business & more. Your story?",Southern California,967,2725,14205,2012-11-27 01:22:25,2020-12-08 23:18:02,0,"Tesla’s Elon Musk follows 687,626 Californians who moved to Texas https://t.co/ykSkAaTMpQ https://t.co/vJdUk2ObWe",[]
JourdainJudette,,,2615,483,21190,2020-10-07 17:40:45,2020-12-08 23:17:57,78,10 BILLION: Elon Musk's net worth skyrockets https://t.co/znwlIUKStp https://t.co/XWbjyJTIOt,[]
5Solae,"Man of many interests, all to the Glory of the Lord✌🏾🏁 #NewJamaica #SDG || Views = MINE|| RTs ≠ endorsements #WinnersOnly",The Place to Be,557,4239,140109,2010-10-15 18:52:33,2020-12-08 23:17:52,7,Tesla's Musk relocates to Texas from California; compares himself to war general https://t.co/kMfL53ZaFJ https://t.co/VbUxcBRBnd,[]
TheWorldWatch,"Anti-Fascist Fascist (ANTIFAFA)
Anti-Communist Communist (ANTICOMMIECOMMIE)",,849,1014,47016,2011-02-15 21:33:14,2020-12-08 23:17:50,0,"""The troops are going to fight a lot harder if they see the general on the front lines."" - Elon Musk https://t.co/EeuqLSuxnI https://t.co/R9FXpEnr5b",[]
MindfrozenT,Bitcoin Crypto Blockchain researcher & enthusiast. #BTC #Crypto  -btc: 1AnmCr6fPvaaFCEZTeUGigwaU3Z2W19jBB       -eth: 0xBCf4058E4d051F66abC25ca6a3a72996eCe8eDbE,"Ontario, Canada",2048,244,19722,2016-12-13 01:27:42,2020-12-08 23:17:42,239,Elon Musk isn't very far away from being the richest person in the world. He gained nearly $10 billion just yesterday. https://t.co/7kd6dEqSXw,[]
newballpark,The never ending quest for a proper home for the Oakland Athletics.,Heart: PHX. Soul: SJC/SFO/OAK.,2054,4387,130681,2009-08-19 21:51:45,2020-12-08 23:17:37,1,"Tesla’s Elon Musk follows 687,626 Californians who moved to Texas https://t.co/SAvGEqa1ey",[]
mike_h1990,Consumer of all things Motown/R&B/Hip Hop/Reggae/Soca/Dancehall music. Movie & TV Lover. #Miami is my favorite city in the world. Proud member of #LawrenceHive,In a Theater Near You...,4992,3912,236763,2009-05-06 18:19:09,2020-12-08 23:17:34,1,"Tesla’s Elon Musk follows 687,626 Californians who moved to Texas https://t.co/HLnTue43XW",[]
BrettLindell,Let it not be said that we did nothing...,"Santa Rosa Beach, Florida ",461,61,531,2011-07-21 22:29:17,2020-12-08 23:17:33,301,*ELON MUSK SAYS HE HAS MOVED TO TEXAS,[]
cazarespr,pr & marketing | Hawaii Puerto Rican in LA | happy wife of Fernando| Mama of MexiRicans| #Progressive #MedicareForAll #BlackLivesMatter #ProtectMaunaKea🔺,"Los Angeles, CA",1452,1727,38283,2015-04-09 03:18:27,2020-12-08 23:17:32,0,"@realDailyWire Reminder: Elon Musk made billions off the pandemic while exposing his employees to covid, cutting their pay and making them  work longer hours. https://t.co/Y1Dn3RzfVi",[]
nathangaughan1,,"Delaware, USA",540,389,13426,2014-03-29 11:30:09,2020-12-08 23:17:27,1821,"The 10 most tweeted about people worldwide in 2020, per Twitter:

1. Donald Trump

2. Joe Biden

3. George Floyd

4. Kobe Bryant

5. Barack Obama

6. BTS

7. Narendra Modi

8. Kanye West

9. Elon Musk

10. Kamala Harris",[]
EastBayTimes,"Winner of the 2017 Pulitzer Prize for Breaking News Reporting. See the latest news from throughout the East Bay, including Contra Costa and Alameda counties.",East Bay,1088,70972,192786,2007-03-16 14:25:08,2020-12-08 23:17:27,0,"Tesla’s Elon Musk follows 687,626 Californians who moved to Texas https://t.co/Q0QsY6MLEA",[]
mercnews,Latest Silicon Valley and San Francisco Bay Area news from reporters & columnists at The Mercury News.,"Silicon Valley, CA",1777,252635,343585,2007-11-21 05:53:00,2020-12-08 23:17:21,1,"Tesla’s Elon Musk follows 687,626 Californians who moved to Texas https://t.co/SAvGEqa1ey",[]
ea_espinoComics,"trying to tell comic stories. Tues-Fridays
comics: Blank Galaxy & Through The Moons
https://t.co/3HgQEmZzg3 (he/him)","Texas, USA",110,46,228,2020-02-14 22:03:01,2020-12-08 23:17:16,0,Dear Elon Musk we don't need you in Texas. Thanks Bye. #Texas,"[{'text': 'Texas', 'indices': [55, 61]}]"
fabinsinger,"Singing Teacher / Vocal Coach - Walnut Creek , California","Walnut Creek, CA",105,146,986,2012-08-15 04:13:55,2020-12-08 23:17:12,2,"#ElonMusk confirms: 'Yes, I have moved to #Texas.' Congratulations, Assemblywoman @LorenaAD80, author of the famed tweet, ""F*ck Elon Musk""--you and #California regulations like #AB5 have finally driven this entrepreneur and job creator out of California! https://t.co/OeJhXdMsFl","[{'text': 'ElonMusk', 'indices': [13, 22]}, {'text': 'Texas', 'indices': [55, 61]}]"
gailalfa1,“95% of the things you worry about never happen.” Mom of 5/Nurse🩺 /LBJ museum tourguide/NAMI Austin / CYBERTRUCK aficionado/ Tesla Owners Austin,"Austin, TX",148,926,13340,2009-10-30 20:36:04,2020-12-08 23:17:10,0,"@JohnEG78 @whitfletcher @AustinTeslaClub Literally, it just occurred to me that Elon Musk might decide to live near Austin. Wow, he’s making a fabulous choice and I think his family will love hanging out near Austin!",[]
Apiphanys_Eye,"🦋🕊️🎭

...I have a stylus and a📱! 😁

...since you're here ...you should visit my media page

💖✝️🇺🇸",,1042,1161,64734,2017-12-29 04:51:05,2020-12-08 23:17:08,200,"BREAKING: @ElonMusk: Bye, California, I’ve Moved To Texas https://t.co/5Ql7M9XQRi",[]
WhittierNews,"Local. News. Matters. We cover Whittier, Calif., and surrounding communities. #LocalNewsMatters","Whittier, Calif.",190,12166,106090,2009-01-23 21:24:41,2020-12-08 23:17:08,0,"Tesla’s Elon Musk follows 687,626 Californians who moved to Texas https://t.co/gBQOv7CzZr",[]
