user_name,location,friends,followers,created_date,text_raw
humblegentsnl,"Haarlem, Nederland",1410,6604,2020-12-13T23:05:36,@leeash10 Hi mate no sorry no longer in stock
HiTCapital2,None,0,12,2020-12-13T23:05:36,$CM8 we should see it starting to move back up. I can't imagine there'll be too much more stock changing hands at t… https://t.co/oWq0o5txFZ
RonenBenReuben,"Los Angeles, CA",57,14,2020-12-13T23:05:36,"@Chargers I get the Chargers think firing Lynn is not going to help this season, but it will help you not look like… https://t.co/RFgDSS6Aoo"
Aniras27,Germany,925,28,2020-12-13T23:05:37,"RT @modooborahae: 2020 BTS Covers:
GQ Japan: BTS - World Domination
Rolling Stone India: The Ultimate Guide to BTS
Wall Street Journal Maga…"
Squirrel1110,None,137,1530,2020-12-13T23:05:37,RT @darinp2: @StephanieCreary @WSJ The @WSJ also has the horrible Kimberley Strassel on their editorial board. Nobody should put any stock…
nuraishabalqiss,None,131,343,2020-12-13T23:05:38,"RT @ko2w: “Hello, Mas Elon?”
“No, it’s Elon Musk.” https://t.co/2xcI2BSR93"
Collegecovid19,"Lexington, KY",0,2,2020-12-13T23:05:38,RT @goldingkentucky: This is a GREAT WashPost piece about why the Wall Street Journal piece about Jill Biden is worse than you think! Take…
DukeJahu311,"Michigan, USA",4114,325,2020-12-13T23:05:39,"RT @CoriBush: They had the money for endless wars. 

They had the money for Wall Street bailouts. 

They have the money for pandemic surviv…"
bsveolijhwww,🇯🇵→🇺🇸→🇻🇳→🇯🇵,517,186,2020-12-13T23:05:40,Streaming video services are accelerating by COVID-19.Many customers tend to watch them because they can watch them… https://t.co/3oWTP8LA1Q
omary95,Southern Illinois,1414,420,2020-12-13T23:05:40,"My God.

I hadn't heard of the article that prompted @MonicaHesse
to write this response. I'm glad. I'm angry enoug… https://t.co/c8DGQih3UA"
Yuzzeh1,None,59,9,2020-12-13T23:05:41,"RT @AaesPassion: For kinky folks and couples looking to spice things up in the other room. 
Door Swing X Leg Spreader 

To stock? https://t…"
changocubano,San Nicolas del Peladero,139,131,2020-12-13T23:05:42,@rafrsr @FrankCalzon2014 El agua se está cotizando en Wall Street at very high price. Wait until all water supply o… https://t.co/sxBqLntOhO
chihiro_grnd,ǝʌɐ uooɯʎǝuoɥ ✨,29,11,2020-12-13T23:05:42,"@FlorianeGrande yes! actually I received it this spring/summer I think, but some of my friends received e-mails fro… https://t.co/6D5hCgrWPy"
ShirleyBurnham,"Swindon, England",3142,3250,2020-12-13T23:05:43,RT @TopCatTC69: It’s starting already. All the Unwashed Masses will start complaining they can’t have their flat pack stuff before Xmas. An…
alexiss_pdf,United States,517,356,2020-12-13T23:05:43,Gotta stock up on the Prosecco for this weekends festivities 😌
javblake8,MA | NC,919,561,2020-12-13T23:05:44,"Along with forcing 29 turnovers Elon grabbed 18 offensive rebounds, their season high and most since they tallied 2… https://t.co/Q7XKLgpRc2"
GeorgeO07041092,None,4855,4814,2020-12-13T23:05:47,"Ass-holes!
Every!
Single!
One of Them!"
SamyRhb,"Oujda Angad, Oriental",106,27,2020-12-13T23:05:48,RT @Hotel3_: I was just informed from more than one reliable source that this weekend would be a very good time to stock up. Two weeks food…
Thejude99,None,5399,4970,2020-12-13T23:05:49,Wow!  I now wish I had subscribe to WSJ so I could tell them where to stuff their lousy rag paper.
asweeting_242,"Wheaton, IL",145,67,2020-12-13T23:05:50,RT @Manic_Marge: Life is too short to pretend you don’t like Elon Musk
ETtheNerdling,None,1488,65,2020-12-13T23:05:51,"RT @sho_moo: Bidding for my original 13x19 acrylic and gouache art here https://t.co/7FXmf4LpbO

I am unable to work these days, these are…"
EmilyLBignell,"Victoria, British Columbia",2550,3373,2020-12-13T23:05:51,RT @CaptCarpeDiem: @ananavarro @WSJ Rupert Murdoch owns the Wall Street Journal. You really expect anything from their editorial department…
Dr_mctocco,Portlandia,152,30,2020-12-13T23:05:52,"RT @CoriBush: They had the money for endless wars. 

They had the money for Wall Street bailouts. 

They have the money for pandemic surviv…"
Thejude99,None,5399,4970,2020-12-13T23:05:53,RT @Variety: ‘Disgusting Display of Misogyny’: WSJ Faces Backlash for Dr. Jill Biden Op-Ed https://t.co/3wMjZRxwOk
Fightkidscancer,United States,3464,2521,2020-12-13T23:05:55,RT @washingtonpost: Perspective: The Wall Street Journal column about Jill Biden is worse than you thought https://t.co/5Q3ubkie2c
bruhther_fred,None,146,84,2020-12-13T23:05:55,"RT @Gfilche: Tesla stock* 

been thinking a lot about this. Berkshire is a conglomerate of low ROIC businesses without hyper growth potenti…"
dody_meirizal,"Bekasi Utara, Indonesia",40,44,2020-12-13T23:05:55,"RT @ko2w: “Hello, Mas Elon?”
“No, it’s Elon Musk.” https://t.co/2xcI2BSR93"
HedgeBuddies,"Inverurie, Aberdeenshire UK",6488,6570,2020-12-13T23:05:56,"RT @Tanyawarren: Hop to it, these guys are in stock! #handmade #frog  #atsocialmedia #UKSOPRO #giftideas https://t.co/uCvQtJ2LSz #etsy #Cra…"
KM02758589,🇨🇦,253,63,2020-12-13T23:05:56,"RT @CollinsKellyE: @EmeraldRobinson Shocker. Next up: Nike, NBA, Goodyear, Google, Hollywood studios, medical institutions, Wall Street, Ha…"
mike_nunes,"Massachusetts, USA",1046,662,2020-12-13T23:05:57,Oh crap! I have money in the stock market dont i...@SNFonNBC #GoPats
Michael31865457,USA,115,101,2020-12-13T23:05:57,RT @thehill: Northwestern University rejects Wall Street Journal op-ed on Jill Biden penned by former lecturer https://t.co/DDiGrwaWHf http…
easymoneygringo,White Suburbia ,119,7,2020-12-13T23:05:58,@Jessdinius @DanPriceSeattle Disney’s stock is way up actually . So I guess that’s good . Everything is open in HTo… https://t.co/cCrTgchA21
stevectweather,"Naugatuck, CT",243,232,2020-12-13T23:05:59,"makes it hard for me to put any stock in the 18z. If the 00z model has a glide out well south of the northeast, I'm… https://t.co/dpZd3Ct7o4"
Chilhon2016Lap,"Maryland, USA",5001,3595,2020-12-13T23:05:59,RT @xmiyakochannel: I really hope it will arrive and didn't get lost. One of the cd's in there is out of stock now and I rarely see it up f…
primaryneso,寝そべりの国,997,511,2020-12-13T23:05:59,"RT @nesoverse: *IN STOCK* Medium Nesoberi Plush Love Live All Stars

Yohane: https://t.co/1tbcI9VEUS
Maru: https://t.co/JZ3Y8TzSck
Ruby: ht…"
NicholasYanes,None,729,2204,2020-12-13T23:05:59,"In Finland, they give people a sword when they earn a doctorate. If we did that in the United States, Dr. Jill Bide… https://t.co/HCCU5aqXQY"
chron,"Houston, TX",118,173,2020-12-13T23:06:00,"Hey @elonmusk, we know that being a #Texan can be intimidating. Here's a guide to make your transition a lot smooth… https://t.co/VnyrK7G30i"
mustangrobby,Southern California,676,611,2020-12-13T23:06:01,"RT @rolmeda: The Wall Street Journal owes an apology not only to Dr. Biden, but to anyone whose op-ed submission was ever rejected by the p…"
paulaguevaara,"Valley Stream, NY",100,68,2020-12-13T23:06:02,"RT @hollywoodcobe: Please take ur stock x tag off of your sneakers. Despite what you may think, it will not increase your chances of gettin…"
inarabtr,"Bejaia, Algérie",241,235,2020-12-13T23:06:03,ASICS REMETTEZ DU STOCK😡😡😡😡😡😡😡😡😡😡😡🔪🔪🔪
AhmadNorMaulana,"Jakarta Utara, DKI Jakarta",46,3432,2020-12-13T23:06:03,How To Create A Great Future: Taking Stock And Moving Forward https://t.co/VRhkwrTwxk https://t.co/SH6jwit25k
kamromero,Madrid,1901,3390,2020-12-13T23:06:03,RT @SergioRebelo6: An asset-pricing puzzle: why is the correlation between stock returns and fundamentals across bull and bear episodes muc…
ChartMill,Belgium,371,6422,2020-12-13T23:06:04,$INTC has a poor technical rating and the quality of the setup is also only medium at the moment.… https://t.co/DV58vdJkCV
Fattcheeked,Around.,690,3132,2020-12-13T23:06:07,"RT @Adam89___: 50 years later and they'll still blame Wenger. These idiots don't know a thing about football, should watch Rugby and try sh…"
deeb_david,None,216,3,2020-12-13T23:06:07,@JoeMSNBC Why does Wall Street want a stimulus bill? Because they care about people or because they want to drive u… https://t.co/Pl9udbH7w8
callmeMsMay,None,819,44,2020-12-13T23:06:07,RT @atthelake54843: @KLoeffler “Let thou buy the stock of the company that make the bags for the bodies when confidential brief of pandemic…
vavaamyclara,"London, England",636,91,2020-12-13T23:06:08,RT @mashable: 'His Dark Materials' stars Dafne Keen and Amir Wilson put their fantasy knowledge to the test in a game of Stock Footage Pict…
esshman,"7.3775° N, 3.9470° E",2638,2881,2020-12-13T23:06:08,"RT @trending_medic: That being said, the fact that people now turn to sniper for suicidal attempts should mean every hospital should have A…"
JemmaMacex,neverland,1169,1495,2020-12-13T23:06:08,"RT @rhianhowlett: Thought I’d share my Etsy shop link here. 
All handmade Welsh soaps using local ingredients where possible!
Stock is a li…"
RealAdamWard,United Kingdom,344,98,2020-12-13T23:06:11,@EpicTimes7 @GabeFiggie @TrevorTerpenni1 @markdamon77 @realDonaldTrump That's not much of a response. And Trump has… https://t.co/6psNePLnLU
CanonPriceWatch,None,0,1069,2020-12-13T23:06:11,"EOS R5 Now In-Stock at Amazon (Sold by Amazon, Prime Eligible) https://t.co/ztTqpxJJ6b"
cutesope,"Cardiff, Wales",455,803,2020-12-13T23:06:12,it's literally impossible to buy a house in Cardiff because they're all owned by landlords...
OcsUpdater,"Ontario, Canada",664,484,2020-12-13T23:06:13,"No longer in stock at OCS: 

CBD 1:20 Oil by Verse Originals

https://t.co/uak7M8Dtub"
TiaagoChaves,None,1718,23,2020-12-13T23:06:13,RT @SeanCar79447369: AntiOx is your place to look for answers to boost your immune system and of course refill your Fountain of Life stock…
MimicRankin,None,131,29,2020-12-13T23:06:13,"@BestBuy I mean, the shit graphics on consoles counts as breathtaking, right? Or was that the massive dip in their… https://t.co/fTKPuV2Nby"
AngeliniAlfredo,"Caracas, Venezuela",2524,1538,2020-12-13T23:06:13,RT @realDonaldTrump: A big disappointment!
alkamaass,New York State,248,107,2020-12-13T23:06:14,"@Graslu00 @lukaaas_18 steel bowls are expensive/often out of stock, and replacement parts can be bad (kitsch bent h… https://t.co/Gk3d3ke8lI"
Josh_Cont,North Hollywood,891,132,2020-12-13T23:06:14,"@StoffelMatt Also, just a super specific experience of mine I wanted to share-- I associate Tri-X with the janky Su… https://t.co/a6Ozs9XtGJ"
cinnders_cindy,None,57,18,2020-12-13T23:06:15,RT @Hotel3_: I was just informed from more than one reliable source that this weekend would be a very good time to stock up. Two weeks food…
WhyBradsmall345,1985,806,852,2020-12-13T23:06:15,@realDonaldTrump I like the stock generic angry people at the end.
Investingcom,Global,455,240386,2020-12-13T23:06:15,"⚠️BREAKING:

*SUNDAY NIGHT FUTURES OPEN HIGHER AS WALL STREET BRACES FOR ANOTHER EVENTFUL WEEK

$DIA $SPY $QQQ $IWM… https://t.co/jkqEqUhziV"
MarlaTauscher,None,2109,1414,2020-12-13T23:06:16,"RT @rolmeda: The Wall Street Journal owes an apology not only to Dr. Biden, but to anyone whose op-ed submission was ever rejected by the p…"
NEWWORLDONE1,AMERICA!!,5000,3583,2020-12-13T23:06:16,RT @TruthSeeker____: A Chinese-Owned Stock Trading App is Quietly Amassing US Users https://t.co/kYmCbSfPFF
BL4USA,United States,39512,38797,2020-12-13T23:06:16,"RT @crsphilly: 🇺🇸  PLEASE READ THIS  🇺🇸THREAD AND TAKE NOTICE

The time is NEAR and this time is to be used WISELY! 

Get READY and be prep…"
commons96055467,"Los Angeles, CA",7420,7539,2020-12-13T23:06:16,"RT @commons96055467: If The Wall Street Journal is asking Dr. Jill Biden to drop the “Dr.”, let’s demand that The Wall Street Journal drop…"
brucebarbet2,None,72,229,2020-12-13T23:06:17,RT @DanMorrow1125: This story coming from a fool that lives in Illinois
PhilNugent,"Boulder, Colorado ",5053,4567,2020-12-13T23:06:17,RT @ValerieJarrett: It is disappointing that the @WSJ would give anyone an avenue to publish such misogynistic nonsense. The soon-to-be Fir…
BonitaGhost12,Mopar World,1530,2111,2020-12-13T23:06:18,"RT @Dodge: Left: roguishly handsome. Right: handsomely roguish.

[Challenger SRT® Super Stock]: Available late 2020⁣⁣
[Charger SRT® Hellcat…"
InvestorsLive,"New Hampshire, USA",159,133593,2020-12-13T23:06:20,"RT @InvestorsLive: 💥 FREE SCAN + VIDEO 💥 

👉 Check out my stock watch list and detailed game plan for tomorrow https://t.co/95tx1jo0cD

$DI…"
opidied,he/they,226,250,2020-12-13T23:06:20,@uwutism @accelbackhop maybe but if the stock comes back in they will shoot down in price for sure
aidan_8m,"Great Barrington, MA",352,41,2020-12-13T23:06:21,"RT @CoriBush: They had the money for endless wars. 

They had the money for Wall Street bailouts. 

They have the money for pandemic surviv…"
