username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,tweet,hashtags,tweets_cleaned,polarity,subjectivity,positive,negative,neutral,sentiment
flyingwarhobbit,"Retired Colonel of Marines; 
Currently Employed at a Federal Agency;
Full Time Constitutional Conservative Patriot 🇺🇸","Margaritaville, USA",977,861,2234,2015-08-13 14:11:49,2020-12-10 21:40:21,0,"Immediately After Moving To Texas, Elon Musk Announces Tesla AR-15 https://t.co/INAGkYB8oc via @TheBabylonBee",[],immediately move texas elon musk announce tesla ar-15 https://t.co/inagkyb8oc @thebabylonbee,0.0,0.0,0.0,0.0,1.0,neutral
ScottPa95856164,what is wrong with people,land of THE FREE,27,59,1735,2019-09-27 14:26:18,2020-12-10 21:40:03,4381,"Immediately After Moving To Texas, Elon Musk Announces Tesla AR-15 https://t.co/ZY0pnSX8I3 https://t.co/YXqcG4T8rQ",[],immediately move texas elon musk announce tesla ar-15 https://t.co/zy0pnsx8i3 https://t.co/yxqcg4t8rq,0.0,0.0,0.0,0.0,1.0,neutral
s0tiKWSQ0jWyqgh,,,34,14,17,2020-12-04 19:46:21,2020-12-10 21:37:33,56,"This news is like:

#Russia 🇷🇺 #Moscow to #StPetersburg
#Germany 🇩🇪 #Berlin to #Munich
#India 🇮🇳 #Mumbai to #Delhi
#Singapore 🇸🇬 #Jurong to #PasirRis 

List goes on... 😹🤷‍♂️

https://t.co/uXrD4lqM0d

@Forbes @elonmusk #ElonMusk #Forbes @Tesla @SpaceX #California #Texas ☓.com","[{'text': 'Russia', 'indices': [37, 44]}, {'text': 'Moscow', 'indices': [48, 55]}, {'text': 'StPetersburg', 'indices': [59, 72]}, {'text': 'Germany', 'indices': [73, 81]}, {'text': 'Berlin', 'indices': [85, 92]}, {'text': 'Munich', 'indices': [96, 103]}, {'text': 'India', 'indices': [104, 110]}, {'text': 'Mumbai', 'indices': [114, 121]}, {'text': 'Delhi', 'indices': [125, 131]}]",news like russia 🇷 🇺 moscow stpetersburg germany 🇩 🇪 berlin munich india 🇮 🇳 mumbai delhi singapore 🇸 🇬 jurong pasirris list go 😹 🤷 ‍ ♂ ️ https://t.co/uxrd4lqm0d @forbes @elonmusk elonmusk forbes @tesla @spacex california texas ☓ .com,0.0,0.0,0.121,0.036,0.843,neutral
AmberOwens18,"HR Leader @AdventHealth – Passionate about exploring new ideas, places, healthcare, human resources, traveling, family, and friends.","Fort Worth, Texas USA",4820,2385,63797,2009-09-26 23:47:52,2020-12-10 21:34:32,0,The Bay Area exodus has a new poster boy. Will that change the dynamic? https://t.co/1qRy47BGng,[],bay area exodus new poster boy change dynamic https://t.co/1qry47bgng,0.06818181818181818,0.3106060606060606,0.245,0.0,0.755,neutral
bloodnteeth,"#WarrenDemocrat Smashing racism, corrupt capitalism and the patriarchy | she/her | kick me under the table all you want, I won’t shut up | I bully centrists",,1027,489,34688,2019-09-10 03:07:31,2020-12-10 21:33:54,526,"Oh man... a program designed to fight poverty, Opportunity Zones, is turning into a tax break for Elon Musk and Jeff Bezos for their space endeavors https://t.co/ZUod2Msuz5 https://t.co/wRYFbartQr",[],oh man program design fight poverty opportunity zones turn tax break elon musk jeff bezos space endeavor https://t.co/zuod2msuz5 https://t.co/wryfbartqr,0.0,0.0,0.113,0.239,0.648,neutral
SusanOswald17,😎,"Mount Pleasant, SC",390,114,10697,2017-06-24 19:05:25,2020-12-10 21:33:08,0,"Immediately After Moving To Texas, Elon Musk Announces Tesla AR-15 https://t.co/FErYcBxzWT via @TheBabylonBee",[],immediately move texas elon musk announce tesla ar-15 https://t.co/ferycbxzwt @thebabylonbee,0.0,0.0,0.0,0.0,1.0,neutral
BentleysrTroy,"#Maga2020. #Trump2020. Pro 2A. Veteran. Patriot. Father. I only follow patriots. If you're a libtard don't follow me, you'll regret it.🇺🇸","Lock Haven, PA",5829,5307,91395,2017-12-21 16:50:58,2020-12-10 21:31:33,0,Tesla's Elon Musk ditches California for Texas: 'California has been winning for a long time ... they're taking that for granted' https://t.co/l7gPuGApgu,[],tesla elon musk ditch california texas california win long time take grant https://t.co/l7gpugapgu,0.375,0.4,0.364,0.0,0.636,neutral
zomfies,"Primarily an RT machine
解放香港
Black Lives Matter
He/him",Melbourne,285,232,132727,2009-03-26 00:21:10,2020-12-10 21:31:11,489,"American citizens: $1200 a month + healthcare for all? 

Government: Hell no. 

Billionaires that got tax cuts and hide money off-shore: Can we use a supposed antipoverty tax breaks to fund our hobbies of trying to exploit space? 

Government: Hell yes! 

https://t.co/htiDasTm9u",[],american citizen $ 1200 month + healthcare government hell billionaire get tax cut hide money shore use suppose antipoverty tax break fund hobby try exploit space government hell yes https://t.co/htidastm9u,0.0,0.0,0.066,0.35,0.584,neutral
OfficialYAY,"CC: @RxYahyaGandi7

#RealFootball. Team #SmackDown","Sokoto, Nigeria",226,40,1588,2015-07-21 08:51:00,2020-12-10 21:30:26,18,"“Mars, here we come!!”

SpaceX's prototype rocket is destroyed after its test launch, but Elon Musk says it got all the data it needed for its programme to Mars https://t.co/qKFQa9vpau https://t.co/KIdueu3LAc",[],mars come spacex prototype rocket destroy test launch elon musk say get datum need programme mars https://t.co/qkfqa9vpau https://t.co/kidueu3lac,-0.2,0.0,0.0,0.171,0.829,neutral
fauzan_mufc,"●● same planet, another world ●●",Right behind you !,0,124,282112,2013-05-20 11:53:55,2020-12-10 21:29:32,0,Elon Musk's Starship takes to the skies https://t.co/TiZhhCEm8f,[],elon musk starship take sky https://t.co/tizhhcem8f,0.0,0.0,0.0,0.0,1.0,neutral
StyleWhite4,Style,Edinburgh castle,230,16,119,2020-08-06 09:24:49,2020-12-10 21:21:46,0,Latest news. Fact. This corono viris was engenierd.. Elon musk used his biotec company with amazon and Marc zub to get the people to buy online. To fund space X. Space X up 10 billion amazon up 26 billion. All ong were told it was China. It was them to get us tobuy online FacT https://t.co/ZL6cKx15w3,[],late news fact corono viris engenierd elon musk biotec company amazon marc zub people buy online fund space x. space x 10 billion amazon 26 billion ong tell china tobuy online fact https://t.co/zl6ckx15w3,-0.3,0.6,0.099,0.0,0.901,neutral
GetTechStories,Bringing you the most interesting stories in technology today.,London,373,41,4663,2017-09-03 14:52:25,2020-12-10 21:19:27,0,"Elon Musk moves to Texas
https://t.co/fC7iYRaAS6",[],elon musk move texas https://t.co/fc7iyraas6,0.0,0.0,0.0,0.0,1.0,neutral
SunnySh12514065,,,41,44,1189,2020-06-07 14:32:13,2020-12-10 21:18:14,100,"Synthetic mRNA technology is on human markets for the first time ever. Elon Musk says this type of mRNA therapy has the power to reverse aging or even completely re-write your genetic structure. 

Yet I'm one of the only news sources covering it. https://t.co/rSPlH3TwTk",[],synthetic mrna technology human market time elon musk say type mrna therapy power reverse aging completely write genetic structure news source cover https://t.co/rsplh3twtk,0.05,0.25,0.0,0.0,1.0,neutral
climate,The intersection of environmentally engaged + solutions seekers.,,87,43286,16978,2016-10-05 17:23:01,2020-12-10 21:16:41,0,Tesla beats a legal challenge that threatened to delay Elon Musk’s plan to build his first electric-car factory in Germany https://t.co/Y5v12r460y,[],tesla beat legal challenge threaten delay elon musk plan build electric car factory germany https://t.co/y5v12r460y,0.2,0.2,0.15,0.262,0.588,neutral
Time2BeRUTHless,"entrepreneur/investor/teacher/yogi/voter/taxpayer
#BidenHarris2020 #BLM #FBResist #LockThemAllUp
Charge 45 in the ICC at The Hague
Proudly blocked by Kushner",U.S.A.,2864,2363,6317,2020-08-19 18:31:30,2020-12-10 21:13:18,0,"Billionaires like Elon Musk are so rich that he just blew up his spaceship last night &amp; it barely made a blip on the news. His reaction: Oh, well. We can learn from it &amp; move on.

Meanwhile, many American are relying on food banks.

#StimulusChecksOrStrike
https://t.co/eMUdF9okZj","[{'text': 'StimulusChecksOrStrike', 'indices': [241, 264]}]",billionaire like elon musk rich blow spaceship night amp barely blip news reaction oh learn amp american rely food bank stimuluschecksorstrike https://t.co/emudf9okzj,0.14166666666666666,0.2833333333333333,0.234,0.0,0.766,neutral
