createdAt,username,location,tweetId,rawTweet,date,time,cleanTweet,polarity,subjectivity,positive,negative,neutral,sentiment
2020-12-11 23:12:05,NYSE,"New York, NY",1337535655048597505,RT @AssetTVUS: 2020 has seen the launch of a lot of new actively managed #ETFs. Head of Exchange Traded Funds Tim Coyne shares why @TRowePr…,2020-12-11,23:12:05,rt @assettvus 2020 see launch lot new actively manage etf head exchange trade funds tim coyne share @trowepr,0.001515151515151511,0.5272727272727272,0.22,0.0,0.78,neutral
2020-12-11 21:50:06,NYSE,"New York, NY",1337515025355968512,How it started ➡️ How it's going https://t.co/7FZ8gJPmdj,2020-12-11,21:50:06,start ➡ ️ go https://t.co/7fz8gjpmdj,0.0,0.0,0.0,0.0,1.0,neutral
2020-12-11 21:30:00,NYSE,"New York, NY",1337509967163654146,"Northern Trust Asset Management's Michael Natale tells us about HYGV, the @FlexsharesETFs High Yield Value-Scored B… https://t.co/R0pYq9RA8u",2020-12-11,21:30:00,northern trust asset management michael natale tell hygv @flexsharesetfs high yield value score b https://t.co/r0pyq9ra8u,0.16,0.5399999999999999,0.406,0.0,0.594,neutral
2020-12-11 21:07:26,NYSE,"New York, NY",1337504288646565893,RT @SempraEnergy: Thank you @SPGlobalPlatts for recognizing Sempra Energy with CEO of the Year and Deal of the Year Awards. #PlattsGEA http…,2020-12-11,21:07:26,rt @sempraenergy thank @spglobalplatts recognize sempra energy ceo year deal year awards plattsgea http,0.0,0.0,0.409,0.0,0.591,neutral
2020-12-11 20:59:12,NYSE,"New York, NY",1337502217411018752,The NYSE welcomes Infosys (NYSE: INFY) in celebration of its 8th anniversary of listing https://t.co/wwXFxwiSRE,2020-12-11,20:59:12,nyse welcome infosys nyse infy celebration 8th anniversary list https://t.co/wwxfxwisre,0.8,0.9,0.25,0.0,0.75,neutral
2020-12-11 16:00:00,NYSE,"New York, NY",1337426921366429701,"Morten Toft Bech, Founder of @MeatlessFarm, tells us about the three trends driving the boom in plant-based product… https://t.co/c8HYMdLCaY",2020-12-11,16:00:00,morten toft bech founder @meatlessfarm tell trend drive boom plant base product https://t.co/c8hymdlcay,-0.8,1.0,0.0,0.0,1.0,neutral
2020-12-11 15:27:00,NYSE,"New York, NY",1337418616942321664,ICYMI: NYSE President @Stacey_Cunning joined @SquawkCNBC this morning to discuss what is driving the sizzling IPO m… https://t.co/500oZOiMUW,2020-12-11,15:27:00,icymi nyse president @stacey_cunning join @squawkcnbc morning discuss drive sizzle ipo m https://t.co/500ozoimuw,0.0,0.0,0.155,0.0,0.845,neutral
2020-12-11 15:10:55,NYSE,"New York, NY",1337414566926487553,"The S&amp;P 500 was 0.29% lower to 3,657.34 shortly after market open",2020-12-11,15:10:55,"s&amp;p 500 0.29 low 3,657.34 shortly market open",0.0,0.3666666666666667,0.0,0.231,0.769,neutral
2020-12-11 14:29:13,NYSE,"New York, NY",1337404074551996417,The NYSE welcomes Delwinds Insurance Acquisition Corp. (NYSE: DWIN.U) to celebrate its SPAC IPO https://t.co/qL9Qh0hL27,2020-12-11,14:29:13,nyse welcome delwinds insurance acquisition corp. nyse dwin.u celebrate spac ipo https://t.co/ql9qh0hl27,0.8,0.9,0.401,0.0,0.599,neutral
2020-12-10 21:10:22,NYSE,"New York, NY",1337142639125213203,Dashing behind the scenes at the NYSE for @DoorDash’s IPO yesterday 🏃‍♂️😋 https://t.co/0f9JsixzLS,2020-12-10,21:10:22,dash scene nyse @doordash ipo yesterday 🏃 ‍ ♂ ️ 😋 https://t.co/0f9jsixzls,0.0,0.0,0.0,0.0,1.0,neutral
2020-12-10 20:59:14,NYSE,"New York, NY",1337139835308404736,Simplify Asset Management Inc highlights the Simplify US Equity PLUS Convexity ETF (NYSE Arca: SPYC) https://t.co/mR0MHlvn5E,2020-12-10,20:59:14,simplify asset management inc highlight simplify equity plus convexity etf nyse arca spyc https://t.co/mr0mhlvn5e,0.0,0.0,0.29,0.0,0.71,neutral
2020-12-10 19:27:50,NYSE,"New York, NY",1337116835234385922,RT @AmplifyETFs: Thanks @NYSE for the opportunity to go Inside the ICE House to discuss @AmplifyETFs disruptive theme ETFs and strategies.…,2020-12-10,19:27:50,rt @amplifyetfs thanks @nyse opportunity inside ice house discuss @amplifyetfs disruptive theme etf strategy,0.2,0.2,0.3,0.121,0.579,neutral
2020-12-10 18:50:33,NYSE,"New York, NY",1337107452983209995,"#WhatstheFund? It's AVMU, the Avantis Core Municipal Fixed Income ETF, which launched today

We talk with… https://t.co/ogjPMIBF1s",2020-12-10,18:50:33,whatsthefund avmu avantis core municipal fixed income etf launch today talk https://t.co/ogjpmibf1s,0.1,0.2,0.0,0.0,1.0,neutral
2020-12-10 17:28:25,NYSE,"New York, NY",1337086781787955203,Today the Noble Peace Prize was officially awarded to @WFP for addressing hunger and promoting food security around… https://t.co/DRyogVoTvM,2020-12-10,17:28:25,today noble peace prize officially award @wfp address hunger promote food security https://t.co/dryogvotvm,0.6,0.9,0.696,0.076,0.228,positive
2020-12-10 15:00:02,NYSE,"New York, NY",1337049439295434752,"Operating over 700 senior living communities in the US, @brookdaleliving has helped lead the sector through these c… https://t.co/b4uYva014x",2020-12-10,15:00:02,operate 700 senior live community @brookdaleliving help lead sector c https://t.co/b4uyva014x,0.13636363636363635,0.5,0.213,0.0,0.787,neutral
